Sprint,Spécialisation,Charge (h),Titre,Epic,Estimation,Priorité,Dépendances
1,front,3.0,"Créer un compte avec email et mot de passe","Gestion des comptes & Profils (NFT Custom Avatar)",XS,must,""
1,back,3.0,"Créer un compte avec email et mot de passe","Gestion des comptes & Profils (NFT Custom Avatar)",XS,must,""
1,front,3.0,"Se connecter à son compte","Gestion des comptes & Profils (NFT Custom Avatar)",XS,must,"Créer un compte avec email et mot de passe"
1,back,3.0,"Se connecter à son compte","Gestion des comptes & Profils (NFT Custom Avatar)",XS,must,"Créer un compte avec email et mot de passe"
1,front,12.0,"Collecter des artefacts uniques (NFT)","Blockchain & NFT",L,should,""
1,back,12.0,"Collecter des artefacts uniques (NFT)","Blockchain & NFT",L,should,""
1,blockchain,12.0,"Collecter des artefacts uniques (NFT)","Blockchain & NFT",L,should,""
1,front,3.0,"Récupérer son mot de passe oublié","Gestion des comptes & Profils (NFT Custom Avatar)",XS,must,"Créer un compte avec email et mot de passe"
1,back,3.0,"Récupérer son mot de passe oublié","Gestion des comptes & Profils (NFT Custom Avatar)",XS,must,"Créer un compte avec email et mot de passe"
1,front,6.0,"Voir mon solde de monnaie virtuelle","Wallet & Transactions",S,must,""
1,back,6.0,"Voir mon solde de monnaie virtuelle","Wallet & Transactions",S,must,""
1,front,12.0,"Voir ma collection d'artefacts","Blockchain & NFT",M,should,"Collecter des artefacts uniques (NFT)"
1,blockchain,12.0,"Voir ma collection d'artefacts","Blockchain & NFT",M,should,"Collecter des artefacts uniques (NFT)"
1,front,6.0,"Voir les règles de modération","Modération du contenu (Utilisateur)",XS,must,""
1,front,6.0,"Créer des énigmes textuelles simples","Gestion des énigmes",S,must,""
1,back,6.0,"Créer des énigmes textuelles simples","Gestion des énigmes",S,must,""
1,back,12.0,"Obtenir un certificat d'authenticité pour mes découvertes","Blockchain & NFT",M,could,"Collecter des artefacts uniques (NFT)"
1,blockchain,12.0,"Obtenir un certificat d'authenticité pour mes découvertes","Blockchain & NFT",M,could,"Collecter des artefacts uniques (NFT)"
1,front,6.0,"Signaler un contenu inapproprié","Modération du contenu (Utilisateur)",S,must,""
1,back,6.0,"Signaler un contenu inapproprié","Modération du contenu (Utilisateur)",S,must,""
1,front,6.0,"Tester la résolution de mon énigme","Gestion des énigmes",S,must,"Créer des énigmes textuelles simples"
1,back,6.0,"Tester la résolution de mon énigme","Gestion des énigmes",S,must,"Créer des énigmes textuelles simples"
1,front,6.0,"Signaler une cache introuvable","Modération du contenu (Utilisateur)",S,must,""
1,back,6.0,"Signaler une cache introuvable","Modération du contenu (Utilisateur)",S,must,""
1,front,3.0,"Modifier mes informations personnelles","Gestion des comptes & Profils (NFT Custom Avatar)",XS,should,"Créer un compte avec email et mot de passe"
1,back,3.0,"Modifier mes informations personnelles","Gestion des comptes & Profils (NFT Custom Avatar)",XS,should,"Créer un compte avec email et mot de passe"
1,front,6.0,"Recevoir une récompense pour ma connexion quotidienne","Récompenses quotidiennes (Flamme Snapchat)",S,should,""
1,back,6.0,"Recevoir une récompense pour ma connexion quotidienne","Récompenses quotidiennes (Flamme Snapchat)",S,should,""
2,front,12.0,"Créer une chasse au trésor simple","Création de chasses standard",M,must,""
2,back,12.0,"Créer une chasse au trésor simple","Création de chasses standard",M,must,""
2,front,3.0,"Définir la difficulté de ma chasse","Création de chasses standard",XS,must,"Créer une chasse au trésor simple"
2,back,3.0,"Définir la difficulté de ma chasse","Création de chasses standard",XS,must,"Créer une chasse au trésor simple"
2,front,12.0,"Comprendre la valeur de mes NFT","Blockchain & NFT",M,could,"Collecter des artefacts uniques (NFT)"
2,blockchain,12.0,"Comprendre la valeur de mes NFT","Blockchain & NFT",M,could,"Collecter des artefacts uniques (NFT)"
2,front,12.0,"Définir l'emplacement d'une cache sur la carte","Création de chasses standard",S,must,"Créer une chasse au trésor simple"
2,front,6.0,"Ajouter des indices pour ma chasse","Création de chasses standard",S,must,"Créer une chasse au trésor simple"
2,back,6.0,"Ajouter des indices pour ma chasse","Création de chasses standard",S,must,"Créer une chasse au trésor simple"
2,back,12.0,"Artefacts à édition limitée","Blockchain & NFT",M,could,"Collecter des artefacts uniques (NFT)"
2,blockchain,12.0,"Artefacts à édition limitée","Blockchain & NFT",M,could,"Collecter des artefacts uniques (NFT)"
2,front,6.0,"Définir un rayon de proximité pour ma cache","Création de chasses standard",S,must,"Créer une chasse au trésor simple"
2,back,6.0,"Définir un rayon de proximité pour ma cache","Création de chasses standard",S,must,"Créer une chasse au trésor simple"
2,front,12.0,"Recevoir des notifications push sur mon téléphone","Système de notifications",M,must,""
2,back,12.0,"Recevoir des notifications push sur mon téléphone","Système de notifications",M,must,""
2,front,12.0,"Voir l'historique de propriété d'un artefact","Blockchain & NFT",M,could,"Collecter des artefacts uniques (NFT)"
2,blockchain,12.0,"Voir l'historique de propriété d'un artefact","Blockchain & NFT",M,could,"Collecter des artefacts uniques (NFT)"
2,front,3.0,"Être notifié de ma récompense disponible","Récompenses quotidiennes (Flamme Snapchat)",XS,should,"Recevoir une récompense pour ma connexion quotidienne"
2,back,3.0,"Être notifié de ma récompense disponible","Récompenses quotidiennes (Flamme Snapchat)",XS,should,"Recevoir une récompense pour ma connexion quotidienne"
2,back,24.0,"Gagner des récompenses pour mes découvertes","Système de récompenses",M,must,""
3,front,6.0,"Être notifié quand quelqu'un trouve ma cache","Système de notifications",S,must,"Recevoir des notifications push sur mon téléphone"
3,back,6.0,"Être notifié quand quelqu'un trouve ma cache","Système de notifications",S,must,"Recevoir des notifications push sur mon téléphone"
3,front,12.0,"Gagner des points d'expérience en complétant des chasses","Système de niveau et d'expérience",M,must,"Voir mon solde de monnaie virtuelle; Recevoir des notifications push sur mon téléphone; Créer une chasse au trésor simple"
3,back,12.0,"Gagner des points d'expérience en complétant des chasses","Système de niveau et d'expérience",M,must,"Voir mon solde de monnaie virtuelle; Recevoir des notifications push sur mon téléphone; Créer une chasse au trésor simple"
3,front,12.0,"Échanger des artefacts avec d'autres joueurs","Blockchain & NFT",L,could,"Collecter des artefacts uniques (NFT)"
3,back,12.0,"Échanger des artefacts avec d'autres joueurs","Blockchain & NFT",L,could,"Collecter des artefacts uniques (NFT)"
3,blockchain,12.0,"Échanger des artefacts avec d'autres joueurs","Blockchain & NFT",L,could,"Collecter des artefacts uniques (NFT)"
3,front,24.0,"Tutoriel interactif pour comprendre le jeu","Onboarding & Tutoriel",M,must,""
3,front,12.0,"Monter de niveau grâce à mes actions","Système de niveau et d'expérience",M,must,"Gagner des points d'expérience en complétant des chasses"
3,back,12.0,"Monter de niveau grâce à mes actions","Système de niveau et d'expérience",M,must,"Gagner des points d'expérience en complétant des chasses"
3,back,12.0,"Recevoir des NFT pour des événements spéciaux","Blockchain & NFT",M,won't,"Collecter des artefacts uniques (NFT)"
3,blockchain,12.0,"Recevoir des NFT pour des événements spéciaux","Blockchain & NFT",M,won't,"Collecter des artefacts uniques (NFT)"
3,front,12.0,"Comprendre le système de récompenses","Onboarding & Tutoriel",S,must,"Tutoriel interactif pour comprendre le jeu"
3,back,24.0,"Gagner de la monnaie en complétant des chasses","Wallet & Transactions",M,must,"Voir mon solde de monnaie virtuelle; Recevoir des notifications push sur mon téléphone; Créer une chasse au trésor simple"
4,front,12.0,"Savoir comment compléter une chasse","Onboarding & Tutoriel",S,must,"Tutoriel interactif pour comprendre le jeu"
4,front,12.0,"Sécuriser mon wallet avec authentification","Wallet & Transactions",M,must,"Voir mon solde de monnaie virtuelle; Créer un compte avec email et mot de passe"
4,back,12.0,"Sécuriser mon wallet avec authentification","Wallet & Transactions",M,must,"Voir mon solde de monnaie virtuelle; Créer un compte avec email et mot de passe"
4,front,18.0,"Connecter un wallet externe","Blockchain & NFT",L,could,"Sécuriser mon wallet avec authentification"
4,blockchain,18.0,"Connecter un wallet externe","Blockchain & NFT",L,could,"Sécuriser mon wallet avec authentification"
4,front,12.0,"Découvrir les fonctionnalités de base","Onboarding & Tutoriel",S,must,"Tutoriel interactif pour comprendre le jeu"
4,front,12.0,"Suivre mes objectifs personnels","Dashboard global (Metrics)",M,must,""
4,back,12.0,"Suivre mes objectifs personnels","Dashboard global (Metrics)",M,must,""
4,front,12.0,"Voir ma progression actuelle","Système de niveau et d'expérience",S,must,"Monter de niveau grâce à mes actions"
4,back,24.0,"Récupérer mon wallet en cas de perte d'accès","Wallet & Transactions",M,must,"Sécuriser mon wallet avec authentification"
4,back,24.0,"Un système de récompenses progressives","Système de récompenses",M,should,"Gagner des récompenses pour mes découvertes"
5,front,24.0,"Voir un centre de notifications dans l'app","Système de notifications",M,must,"Recevoir des notifications push sur mon téléphone"
5,front,12.0,"Associer une énigme à ma cache","Création de chasses standard",M,must,"Créer une chasse au trésor simple"
5,back,12.0,"Associer une énigme à ma cache","Création de chasses standard",M,must,"Créer une chasse au trésor simple"
5,back,24.0,"Exporter mes NFT vers d'autres plateformes","Blockchain & NFT",XL,won't,"Collecter des artefacts uniques (NFT)"
5,blockchain,24.0,"Exporter mes NFT vers d'autres plateformes","Blockchain & NFT",XL,won't,"Collecter des artefacts uniques (NFT)"
5,front,6.0,"Accéder aux tutoriels à tout moment","Onboarding & Tutoriel",XS,should,"Tutoriel interactif pour comprendre le jeu"
5,front,3.0,"Des bonus pour les connexions consécutives","Récompenses quotidiennes (Flamme Snapchat)",XS,should,"Recevoir une récompense pour ma connexion quotidienne"
5,back,3.0,"Des bonus pour les connexions consécutives","Récompenses quotidiennes (Flamme Snapchat)",XS,should,"Recevoir une récompense pour ma connexion quotidienne"
5,front,6.0,"Passer le tutoriel si je suis déjà familier","Onboarding & Tutoriel",XS,should,"Tutoriel interactif pour comprendre le jeu"
5,front,6.0,"Voir le nombre total de chasses complétées","Dashboard global (Metrics)",S,should,""
5,back,6.0,"Voir le nombre total de chasses complétées","Dashboard global (Metrics)",S,should,""
5,front,12.0,"Consulter mes artefacts collectionnés","Dashboard global (Metrics)",M,must,"Collecter des artefacts uniques (NFT); Voir le nombre total de chasses complétées"
5,back,12.0,"Consulter mes artefacts collectionnés","Dashboard global (Metrics)",M,must,"Collecter des artefacts uniques (NFT); Voir le nombre total de chasses complétées"
5,front,6.0,"Un catalogue des récompenses disponibles","Système de récompenses",S,should,"Gagner des récompenses pour mes découvertes"
5,back,6.0,"Un catalogue des récompenses disponibles","Système de récompenses",S,should,"Gagner des récompenses pour mes découvertes"
6,front,6.0,"Voir le temps restant avant la prochaine récompense","Récompenses quotidiennes (Flamme Snapchat)",XS,should,"Recevoir une récompense pour ma connexion quotidienne"
6,front,6.0,"Personnaliser son profil","Gestion des comptes & Profils (NFT Custom Avatar)",S,should,"Créer un compte avec email et mot de passe"
6,back,6.0,"Personnaliser son profil","Gestion des comptes & Profils (NFT Custom Avatar)",S,should,"Créer un compte avec email et mot de passe"
6,front,12.0,"Consulter les avantages du niveau suivant","Système de niveau et d'expérience",S,should,"Monter de niveau grâce à mes actions"
6,front,6.0,"Être notifié des récompenses disponibles","Système de notifications",S,should,"Recevoir une récompense pour ma connexion quotidienne; Recevoir des notifications push sur mon téléphone"
6,back,6.0,"Être notifié des récompenses disponibles","Système de notifications",S,should,"Recevoir une récompense pour ma connexion quotidienne; Recevoir des notifications push sur mon téléphone"
6,front,6.0,"Être informé des messages reçus","Système de notifications",S,should,"Recevoir une récompense pour ma connexion quotidienne; Recevoir des notifications push sur mon téléphone"
6,back,6.0,"Être informé des messages reçus","Système de notifications",S,should,"Recevoir une récompense pour ma connexion quotidienne; Recevoir des notifications push sur mon téléphone"
6,front,6.0,"Désactiver temporairement les notifications","Système de notifications",S,should,"Recevoir des notifications push sur mon téléphone"
6,back,6.0,"Désactiver temporairement les notifications","Système de notifications",S,should,"Recevoir des notifications push sur mon téléphone"
6,front,6.0,"être notifié des mises à jour importantes","Système de notifications",S,should,"Recevoir des notifications push sur mon téléphone"
6,back,6.0,"être notifié des mises à jour importantes","Système de notifications",S,should,"Recevoir des notifications push sur mon téléphone"
6,front,6.0,"Voir mes réalisations récentes","Dashboard global (Metrics)",S,should,""
6,back,6.0,"Voir mes réalisations récentes","Dashboard global (Metrics)",S,should,""
6,front,6.0,"Ajouter des photos à ma cache","Création de chasses standard",S,should,"Créer une chasse au trésor simple"
6,back,6.0,"Ajouter des photos à ma cache","Création de chasses standard",S,should,"Créer une chasse au trésor simple"
6,front,6.0,"Noter la qualité des chasses complétées","Modération du contenu (Utilisateur)",S,should,""
6,back,6.0,"Noter la qualité des chasses complétées","Modération du contenu (Utilisateur)",S,should,""
6,front,6.0,"Laisser un commentaire sur une chasse","Modération du contenu (Utilisateur)",S,should,""
6,back,6.0,"Laisser un commentaire sur une chasse","Modération du contenu (Utilisateur)",S,should,""
6,front,6.0,"Voir l'état de modération de mes chasses","Modération du contenu (Utilisateur)",S,should,"Signaler un contenu inapproprié"
6,back,6.0,"Voir l'état de modération de mes chasses","Modération du contenu (Utilisateur)",S,should,"Signaler un contenu inapproprié"
7,front,6.0,"Recevoir des notifications de modération","Modération du contenu (Utilisateur)",S,should,"Signaler un contenu inapproprié; Recevoir des notifications push sur mon téléphone"
7,back,6.0,"Recevoir des notifications de modération","Modération du contenu (Utilisateur)",S,should,"Signaler un contenu inapproprié; Recevoir des notifications push sur mon téléphone"
7,front,6.0,"Des notifications pour mes transactions","Wallet & Transactions",S,should,"Voir mon solde de monnaie virtuelle"
7,back,6.0,"Des notifications pour mes transactions","Wallet & Transactions",S,should,"Voir mon solde de monnaie virtuelle"
7,front,12.0,"Voir les statistiques de mes chasses","Dashboard partenaires",M,should,""
7,back,12.0,"Voir les statistiques de mes chasses","Dashboard partenaires",M,should,""
7,front,12.0,"Créer des codes promotionnels","Promotion & Acquisition utilisateurs",M,should,""
7,back,12.0,"Créer des codes promotionnels","Promotion & Acquisition utilisateurs",M,should,""
7,front,12.0,"Gérer mes paramètres de confidentialité","Gestion des comptes & Profils (NFT Custom Avatar)",M,should,"Créer un compte avec email et mot de passe"
7,back,12.0,"Gérer mes paramètres de confidentialité","Gestion des comptes & Profils (NFT Custom Avatar)",M,should,"Créer un compte avec email et mot de passe"
7,front,12.0,"Voir mon historique de chasses","Gestion des comptes & Profils (NFT Custom Avatar)",M,should,"Créer un compte avec email et mot de passe"
7,back,12.0,"Voir mon historique de chasses","Gestion des comptes & Profils (NFT Custom Avatar)",M,should,"Créer un compte avec email et mot de passe"
7,front,12.0,"Débloquer de nouvelles fonctionnalités avec mon niveau","Système de niveau et d'expérience",M,should,"Monter de niveau grâce à mes actions"
7,back,12.0,"Débloquer de nouvelles fonctionnalités avec mon niveau","Système de niveau et d'expérience",M,should,"Monter de niveau grâce à mes actions"
7,front,6.0,"Lier mes réseaux sociaux à mon profil","Gestion des comptes & Profils (NFT Custom Avatar)",S,could,"Créer un compte avec email et mot de passe"
7,back,6.0,"Lier mes réseaux sociaux à mon profil","Gestion des comptes & Profils (NFT Custom Avatar)",S,could,"Créer un compte avec email et mot de passe"
8,front,24.0,"Conseils contextuels durant mes premières actions","Onboarding & Tutoriel",M,should,"Tutoriel interactif pour comprendre le jeu"
8,front,12.0,"Récompenses spéciales à certains paliers","Système de niveau et d'expérience",M,should,"Monter de niveau grâce à mes actions"
8,back,12.0,"Récompenses spéciales à certains paliers","Système de niveau et d'expérience",M,should,"Monter de niveau grâce à mes actions"
8,front,12.0,"Un calendrier de récompenses progressives","Récompenses quotidiennes (Flamme Snapchat)",M,should,"Recevoir une récompense pour ma connexion quotidienne"
8,back,12.0,"Un calendrier de récompenses progressives","Récompenses quotidiennes (Flamme Snapchat)",M,should,"Recevoir une récompense pour ma connexion quotidienne"
8,front,12.0,"Personnaliser les types de notifications reçues","Système de notifications",M,should,"Recevoir des notifications push sur mon téléphone"
8,back,12.0,"Personnaliser les types de notifications reçues","Système de notifications",M,should,"Recevoir des notifications push sur mon téléphone"
8,front,12.0,"Consulter ma distance totale parcourue","Dashboard global (Metrics)",M,should,""
8,back,12.0,"Consulter ma distance totale parcourue","Dashboard global (Metrics)",M,should,""
8,back,24.0,"Des récompenses basées sur mon niveau d'activité","Système de récompenses",M,should,"Gagner des récompenses pour mes découvertes"
8,front,6.0,"Supprimer mon compte","Gestion des comptes & Profils (NFT Custom Avatar)",S,could,"Créer un compte avec email et mot de passe"
8,back,6.0,"Supprimer mon compte","Gestion des comptes & Profils (NFT Custom Avatar)",S,could,"Créer un compte avec email et mot de passe"
9,front,24.0,"Prévisualiser ma chasse avant publication","Création de chasses standard",M,should,"Créer une chasse au trésor simple"
9,front,12.0,"Modifier une chasse existante","Création de chasses standard",M,should,"Créer une chasse au trésor simple"
9,back,12.0,"Modifier une chasse existante","Création de chasses standard",M,should,"Créer une chasse au trésor simple"
9,front,12.0,"Associer des indices visuels à mes énigmes","Gestion des énigmes",M,should,"Créer des énigmes textuelles simples"
9,back,12.0,"Associer des indices visuels à mes énigmes","Gestion des énigmes",M,should,"Créer des énigmes textuelles simples"
9,front,12.0,"Choisir parmi des modèles d'énigmes prédéfinis","Gestion des énigmes",M,should,"Créer des énigmes textuelles simples"
9,back,12.0,"Choisir parmi des modèles d'énigmes prédéfinis","Gestion des énigmes",M,should,"Créer des énigmes textuelles simples"
9,front,12.0,"Définir plusieurs niveaux d'indices","Gestion des énigmes",M,should,"Créer des énigmes textuelles simples"
9,back,12.0,"Définir plusieurs niveaux d'indices","Gestion des énigmes",M,should,"Créer des énigmes textuelles simples"
9,back,24.0,"Être récompensé pour la création de chasses populaires","Système de récompenses",M,should,"Créer une chasse au trésor simple"
9,front,6.0,"Historique de mes points gagnés","Système de niveau et d'expérience",S,could,"Gagner des points d'expérience en complétant des chasses"
9,back,6.0,"Historique de mes points gagnés","Système de niveau et d'expérience",S,could,"Gagner des points d'expérience en complétant des chasses"
10,front,12.0,"Créer des énigmes qui nécessitent l'observation du lieu réel","Gestion des énigmes",M,should,"Créer des énigmes textuelles simples"
10,back,12.0,"Créer des énigmes qui nécessitent l'observation du lieu réel","Gestion des énigmes",M,should,"Créer des énigmes textuelles simples"
10,front,12.0,"Contester une modération","Modération du contenu (Utilisateur)",M,should,"Signaler un contenu inapproprié"
10,back,12.0,"Contester une modération","Modération du contenu (Utilisateur)",M,should,"Signaler un contenu inapproprié"
10,front,12.0,"Dépenser ma monnaie pour des objets virtuels","Wallet & Transactions",M,should,"Voir mon solde de monnaie virtuelle"
10,back,12.0,"Dépenser ma monnaie pour des objets virtuels","Wallet & Transactions",M,should,"Voir mon solde de monnaie virtuelle"
10,front,12.0,"Consulter l'historique de mes transactions","Wallet & Transactions",M,should,"Voir mon solde de monnaie virtuelle"
10,back,12.0,"Consulter l'historique de mes transactions","Wallet & Transactions",M,should,"Voir mon solde de monnaie virtuelle"
10,front,12.0,"Voir mon progression vers la prochaine récompense","Système de récompenses",M,should,"Un système de récompenses progressives"
10,back,12.0,"Voir mon progression vers la prochaine récompense","Système de récompenses",M,should,"Un système de récompenses progressives"
10,front,12.0,"Proposer des bonus aux nouveaux utilisateurs","Promotion & Acquisition utilisateurs",M,should,""
10,back,12.0,"Proposer des bonus aux nouveaux utilisateurs","Promotion & Acquisition utilisateurs",M,should,""
10,front,6.0,"Des récompenses spéciales les week-ends","Récompenses quotidiennes (Flamme Snapchat)",S,could,"Recevoir une récompense pour ma connexion quotidienne"
10,back,6.0,"Des récompenses spéciales les week-ends","Récompenses quotidiennes (Flamme Snapchat)",S,could,"Recevoir une récompense pour ma connexion quotidienne"
11,front,24.0,"Des outils de partage sur réseaux sociaux","Promotion & Acquisition utilisateurs",M,should,""
11,front,18.0,"Créer une chasse avec plusieurs étapes","Création de chasses personnalisées",L,should,"Créer une chasse au trésor simple"
11,back,18.0,"Créer une chasse avec plusieurs étapes","Création de chasses personnalisées",L,should,"Créer une chasse au trésor simple"
11,front,12.0,"Définir des récompenses spécifiques","Création de chasses personnalisées",M,should,"Créer une chasse avec plusieurs étapes"
11,back,12.0,"Définir des récompenses spécifiques","Création de chasses personnalisées",M,should,"Créer une chasse avec plusieurs étapes"
11,front,12.0,"Limiter ma chasse à un groupe spécifique","Création de chasses personnalisées",M,should,"Créer une chasse avec plusieurs étapes"
11,back,12.0,"Limiter ma chasse à un groupe spécifique","Création de chasses personnalisées",M,should,"Créer une chasse avec plusieurs étapes"
11,front,12.0,"Apprendre à créer ma première cache","Onboarding & Tutoriel",S,could,"Tutoriel interactif pour comprendre le jeu"
11,back,36.0,"Des rapports hebdomadaires automatiques","Rapports de performance",L,should,""
12,front,18.0,"Créer une campagne marketing liée à mes chasses","Gestion des campagnes",L,should,""
12,back,18.0,"Créer une campagne marketing liée à mes chasses","Gestion des campagnes",L,should,""
12,front,6.0,"Définir la durée de ma campagne","Gestion des campagnes",S,should,"Créer une campagne marketing liée à mes chasses"
12,back,6.0,"Définir la durée de ma campagne","Gestion des campagnes",S,should,"Créer une campagne marketing liée à mes chasses"
12,front,12.0,"Personnaliser les messages de ma campagne","Gestion des campagnes",M,should,"Créer une campagne marketing liée à mes chasses"
12,back,12.0,"Personnaliser les messages de ma campagne","Gestion des campagnes",M,should,"Créer une campagne marketing liée à mes chasses"
12,front,18.0,"Définir un parcours spécifique pour ma chasse","Création de chasses personnalisées",L,should,"Créer une chasse avec plusieurs étapes"
12,back,18.0,"Définir un parcours spécifique pour ma chasse","Création de chasses personnalisées",L,should,"Créer une chasse avec plusieurs étapes"
12,front,18.0,"Analyser l'engagement des utilisateurs","Dashboard partenaires",L,should,"Voir les statistiques de mes chasses"
12,back,18.0,"Analyser l'engagement des utilisateurs","Dashboard partenaires",L,should,"Voir les statistiques de mes chasses"
12,front,6.0,"Être alerté des nouvelles chasses près de moi","Système de notifications",S,could,"Recevoir des notifications push sur mon téléphone"
12,back,6.0,"Être alerté des nouvelles chasses près de moi","Système de notifications",S,could,"Recevoir des notifications push sur mon téléphone"
